damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG,HFC125,3%,2095,918567
MimiIWG,HFC125,3%,2096,925182
MimiIWG,HFC125,3%,2097,931798
MimiIWG,HFC125,3%,2098,938413
MimiIWG,HFC125,3%,2099,945028
MimiIWG,HFC125,3%,2100,951643
MimiIWG,HFC134a,2%,2020,159977
MimiIWG,HFC134a,2%,2021,164352
MimiIWG,HFC134a,2%,2022,168727
MimiIWG,HFC134a,2%,2023,173102
MimiIWG,HFC134a,2%,2024,177478
MimiIWG,HFC134a,2%,2025,181853
MimiIWG,HFC134a,2%,2026,186228
MimiIWG,HFC134a,2%,2027,190604
MimiIWG,HFC134a,2%,2028,194979
MimiIWG,HFC134a,2%,2029,199354
MimiIWG,HFC134a,2%,2030,203730
MimiIWG,HFC134a,2%,2031,208705
MimiIWG,HFC134a,2%,2032,213680
MimiIWG,HFC134a,2%,2033,218654
MimiIWG,HFC134a,2%,2034,223629
MimiIWG,HFC134a,2%,2035,228604
MimiIWG,HFC134a,2%,2036,233579
MimiIWG,HFC134a,2%,2037,238554
MimiIWG,HFC134a,2%,2038,243529
MimiIWG,HFC134a,2%,2039,248504
MimiIWG,HFC134a,2%,2040,253479
MimiIWG,HFC134a,2%,2041,258366
MimiIWG,HFC134a,2%,2042,263254
MimiIWG,HFC134a,2%,2043,268141
MimiIWG,HFC134a,2%,2044,273029
MimiIWG,HFC134a,2%,2045,277916
MimiIWG,HFC134a,2%,2046,282804
MimiIWG,HFC134a,2%,2047,287691
MimiIWG,HFC134a,2%,2048,292579
MimiIWG,HFC134a,2%,2049,297466
MimiIWG,HFC134a,2%,2050,302354
MimiIWG,HFC134a,2%,2051,305314
MimiIWG,HFC134a,2%,2052,308275
MimiIWG,HFC134a,2%,2053,311235
MimiIWG,HFC134a,2%,2054,314196
MimiIWG,HFC134a,2%,2055,317156
MimiIWG,HFC134a,2%,2056,320117
MimiIWG,HFC134a,2%,2057,323077
MimiIWG,HFC134a,2%,2058,326038
MimiIWG,HFC134a,2%,2059,328998
MimiIWG,HFC134a,2%,2060,331959
MimiIWG,HFC134a,2%,2061,342825
MimiIWG,HFC134a,2%,2062,353692
MimiIWG,HFC134a,2%,2063,364558
MimiIWG,HFC134a,2%,2064,375425
MimiIWG,HFC134a,2%,2065,386291
MimiIWG,HFC134a,2%,2066,397158
MimiIWG,HFC134a,2%,2067,408024
MimiIWG,HFC134a,2%,2068,418891
MimiIWG,HFC134a,2%,2069,429757
MimiIWG,HFC134a,2%,2070,440624
MimiIWG,HFC134a,2%,2071,452010
MimiIWG,HFC134a,2%,2072,463396
MimiIWG,HFC134a,2%,2073,474782
MimiIWG,HFC134a,2%,2074,486168
MimiIWG,HFC134a,2%,2075,497554
MimiIWG,HFC134a,2%,2076,508940
MimiIWG,HFC134a,2%,2077,520326
MimiIWG,HFC134a,2%,2078,531712
MimiIWG,HFC134a,2%,2079,543098
MimiIWG,HFC134a,2%,2080,554484
MimiIWG,HFC134a,2%,2081,559007
MimiIWG,HFC134a,2%,2082,563530
MimiIWG,HFC134a,2%,2083,568053
MimiIWG,HFC134a,2%,2084,572576
MimiIWG,HFC134a,2%,2085,577099
MimiIWG,HFC134a,2%,2086,581622
MimiIWG,HFC134a,2%,2087,586145
MimiIWG,HFC134a,2%,2088,590668
MimiIWG,HFC134a,2%,2089,595192
MimiIWG,HFC134a,2%,2090,599715
MimiIWG,HFC134a,2%,2091,604064
MimiIWG,HFC134a,2%,2092,608412
MimiIWG,HFC134a,2%,2093,612761
MimiIWG,HFC134a,2%,2094,617110
MimiIWG,HFC134a,2%,2095,621459
MimiIWG,HFC134a,2%,2096,625808
MimiIWG,HFC134a,2%,2097,630157
MimiIWG,HFC134a,2%,2098,634506
MimiIWG,HFC134a,2%,2099,638855
MimiIWG,HFC134a,2%,2100,643204
MimiIWG,HFC134a,3%,2020,87339
MimiIWG,HFC134a,3%,2021,90334
MimiIWG,HFC134a,3%,2022,93330
MimiIWG,HFC134a,3%,2023,96325
MimiIWG,HFC134a,3%,2024,99320
MimiIWG,HFC134a,3%,2025,102316
MimiIWG,HFC134a,3%,2026,105311
