damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG_FAIRv162,HFC134a,3%,2062,151728
MimiIWG_FAIRv162,HFC134a,3%,2063,156263
MimiIWG_FAIRv162,HFC134a,3%,2064,160797
MimiIWG_FAIRv162,HFC134a,3%,2065,165332
MimiIWG_FAIRv162,HFC134a,3%,2066,169866
MimiIWG_FAIRv162,HFC134a,3%,2067,174400
MimiIWG_FAIRv162,HFC134a,3%,2068,178935
MimiIWG_FAIRv162,HFC134a,3%,2069,183469
MimiIWG_FAIRv162,HFC134a,3%,2070,188004
MimiIWG_FAIRv162,HFC134a,3%,2071,192751
MimiIWG_FAIRv162,HFC134a,3%,2072,197499
MimiIWG_FAIRv162,HFC134a,3%,2073,202246
MimiIWG_FAIRv162,HFC134a,3%,2074,206994
MimiIWG_FAIRv162,HFC134a,3%,2075,211741
MimiIWG_FAIRv162,HFC134a,3%,2076,216489
MimiIWG_FAIRv162,HFC134a,3%,2077,221236
MimiIWG_FAIRv162,HFC134a,3%,2078,225983
MimiIWG_FAIRv162,HFC134a,3%,2079,230731
MimiIWG_FAIRv162,HFC134a,3%,2080,235478
MimiIWG_FAIRv162,HFC134a,3%,2081,238961
MimiIWG_FAIRv162,HFC134a,3%,2082,242444
MimiIWG_FAIRv162,HFC134a,3%,2083,245927
MimiIWG_FAIRv162,HFC134a,3%,2084,249410
MimiIWG_FAIRv162,HFC134a,3%,2085,252893
MimiIWG_FAIRv162,HFC134a,3%,2086,256376
MimiIWG_FAIRv162,HFC134a,3%,2087,259859
MimiIWG_FAIRv162,HFC134a,3%,2088,263342
MimiIWG_FAIRv162,HFC134a,3%,2089,266825
MimiIWG_FAIRv162,HFC134a,3%,2090,270309
MimiIWG_FAIRv162,HFC134a,3%,2091,274125
MimiIWG_FAIRv162,HFC134a,3%,2092,277941
MimiIWG_FAIRv162,HFC134a,3%,2093,281757
MimiIWG_FAIRv162,HFC134a,3%,2094,285573
MimiIWG_FAIRv162,HFC134a,3%,2095,289390
MimiIWG_FAIRv162,HFC134a,3%,2096,293206
MimiIWG_FAIRv162,HFC134a,3%,2097,297022
MimiIWG_FAIRv162,HFC134a,3%,2098,300838
MimiIWG_FAIRv162,HFC134a,3%,2099,304654
MimiIWG_FAIRv162,HFC134a,3%,2100,308471
MimiIWG_FAIRv162,HFC143a,3%,2020,176654
MimiIWG_FAIRv162,HFC143a,3%,2021,182272
MimiIWG_FAIRv162,HFC143a,3%,2022,187889
MimiIWG_FAIRv162,HFC143a,3%,2023,193507
MimiIWG_FAIRv162,HFC143a,3%,2024,199125
MimiIWG_FAIRv162,HFC143a,3%,2025,204743
MimiIWG_FAIRv162,HFC143a,3%,2026,210360
MimiIWG_FAIRv162,HFC143a,3%,2027,215978
MimiIWG_FAIRv162,HFC143a,3%,2028,221596
MimiIWG_FAIRv162,HFC143a,3%,2029,227213
MimiIWG_FAIRv162,HFC143a,3%,2030,232831
MimiIWG_FAIRv162,HFC143a,3%,2031,239760
MimiIWG_FAIRv162,HFC143a,3%,2032,246688
MimiIWG_FAIRv162,HFC143a,3%,2033,253617
MimiIWG_FAIRv162,HFC143a,3%,2034,260546
MimiIWG_FAIRv162,HFC143a,3%,2035,267474
MimiIWG_FAIRv162,HFC143a,3%,2036,274403
MimiIWG_FAIRv162,HFC143a,3%,2037,281332
MimiIWG_FAIRv162,HFC143a,3%,2038,288260
MimiIWG_FAIRv162,HFC143a,3%,2039,295189
MimiIWG_FAIRv162,HFC143a,3%,2040,302118
MimiIWG_FAIRv162,HFC143a,3%,2041,310321
MimiIWG_FAIRv162,HFC143a,3%,2042,318523
MimiIWG_FAIRv162,HFC143a,3%,2043,326726
MimiIWG_FAIRv162,HFC143a,3%,2044,334929
MimiIWG_FAIRv162,HFC143a,3%,2045,343132
MimiIWG_FAIRv162,HFC143a,3%,2046,351335
MimiIWG_FAIRv162,HFC143a,3%,2047,359537
MimiIWG_FAIRv162,HFC143a,3%,2048,367740
MimiIWG_FAIRv162,HFC143a,3%,2049,375943
MimiIWG_FAIRv162,HFC143a,3%,2050,384146
MimiIWG_FAIRv162,HFC143a,3%,2051,393354
MimiIWG_FAIRv162,HFC143a,3%,2052,402563
MimiIWG_FAIRv162,HFC143a,3%,2053,411772
MimiIWG_FAIRv162,HFC143a,3%,2054,420981
MimiIWG_FAIRv162,HFC143a,3%,2055,430190
MimiIWG_FAIRv162,HFC143a,3%,2056,439399
MimiIWG_FAIRv162,HFC143a,3%,2057,448607
MimiIWG_FAIRv162,HFC143a,3%,2058,457816
MimiIWG_FAIRv162,HFC143a,3%,2059,467025
MimiIWG_FAIRv162,HFC143a,3%,2060,476234
MimiIWG_FAIRv162,HFC143a,3%,2061,487365
MimiIWG_FAIRv162,HFC143a,3%,2062,498497
MimiIWG_FAIRv162,HFC143a,3%,2063,509629
MimiIWG_FAIRv162,HFC143a,3%,2064,520761
MimiIWG_FAIRv162,HFC143a,3%,2065,531892
MimiIWG_FAIRv162,HFC143a,3%,2066,543024
MimiIWG_FAIRv162,HFC143a,3%,2067,554156
MimiIWG_FAIRv162,HFC143a,3%,2068,565287
MimiIWG_FAIRv162,HFC143a,3%,2069,576419
MimiIWG_FAIRv162,HFC143a,3%,2070,587551
MimiIWG_FAIRv162,HFC143a,3%,2071,599141
MimiIWG_FAIRv162,HFC143a,3%,2072,610732
MimiIWG_FAIRv162,HFC143a,3%,2073,622323
MimiIWG_FAIRv162,HFC143a,3%,2074,633913
MimiIWG_FAIRv162,HFC143a,3%,2075,645504
MimiIWG_FAIRv162,HFC143a,3%,2076,657094
MimiIWG_FAIRv162,HFC143a,3%,2077,668685
MimiIWG_FAIRv162,HFC143a,3%,2078,680275
MimiIWG_FAIRv162,HFC143a,3%,2079,691866
MimiIWG_FAIRv162,HFC143a,3%,2080,703456
MimiIWG_FAIRv162,HFC143a,3%,2081,712661
MimiIWG_FAIRv162,HFC143a,3%,2082,721866
MimiIWG_FAIRv162,HFC143a,3%,2083,731071
MimiIWG_FAIRv162,HFC143a,3%,2084,740276
MimiIWG_FAIRv162,HFC143a,3%,2085,749481
MimiIWG_FAIRv162,HFC143a,3%,2086,758686
MimiIWG_FAIRv162,HFC143a,3%,2087,767891
MimiIWG_FAIRv162,HFC143a,3%,2088,777096
MimiIWG_FAIRv162,HFC143a,3%,2089,786301
MimiIWG_FAIRv162,HFC143a,3%,2090,795506
MimiIWG_FAIRv162,HFC143a,3%,2091,805756
MimiIWG_FAIRv162,HFC143a,3%,2092,816007
MimiIWG_FAIRv162,HFC143a,3%,2093,826257
MimiIWG_FAIRv162,HFC143a,3%,2094,836508
MimiIWG_FAIRv162,HFC143a,3%,2095,846758
MimiIWG_FAIRv162,HFC143a,3%,2096,857009
MimiIWG_FAIRv162,HFC143a,3%,2097,867260
MimiIWG_FAIRv162,HFC143a,3%,2098,877510
MimiIWG_FAIRv162,HFC143a,3%,2099,887761
MimiIWG_FAIRv162,HFC143a,3%,2100,898011
MimiIWG_FAIRv162,HFC152a,3%,2020,5371
MimiIWG_FAIRv162,HFC152a,3%,2021,5586
MimiIWG_FAIRv162,HFC152a,3%,2022,5802
MimiIWG_FAIRv162,HFC152a,3%,2023,6017
MimiIWG_FAIRv162,HFC152a,3%,2024,6232
MimiIWG_FAIRv162,HFC152a,3%,2025,6448
MimiIWG_FAIRv162,HFC152a,3%,2026,6663
MimiIWG_FAIRv162,HFC152a,3%,2027,6879
MimiIWG_FAIRv162,HFC152a,3%,2028,7094
MimiIWG_FAIRv162,HFC152a,3%,2029,7310
MimiIWG_FAIRv162,HFC152a,3%,2030,7525
MimiIWG_FAIRv162,HFC152a,3%,2031,7804
MimiIWG_FAIRv162,HFC152a,3%,2032,8083
MimiIWG_FAIRv162,HFC152a,3%,2033,8361
MimiIWG_FAIRv162,HFC152a,3%,2034,8640
MimiIWG_FAIRv162,HFC152a,3%,2035,8918
MimiIWG_FAIRv162,HFC152a,3%,2036,9197
MimiIWG_FAIRv162,HFC152a,3%,2037,9476
MimiIWG_FAIRv162,HFC152a,3%,2038,9754
MimiIWG_FAIRv162,HFC152a,3%,2039,10033
MimiIWG_FAIRv162,HFC152a,3%,2040,10312
MimiIWG_FAIRv162,HFC152a,3%,2041,10703
MimiIWG_FAIRv162,HFC152a,3%,2042,11094
MimiIWG_FAIRv162,HFC152a,3%,2043,11485
MimiIWG_FAIRv162,HFC152a,3%,2044,11876
MimiIWG_FAIRv162,HFC152a,3%,2045,12267
MimiIWG_FAIRv162,HFC152a,3%,2046,12658
MimiIWG_FAIRv162,HFC152a,3%,2047,13049
MimiIWG_FAIRv162,HFC152a,3%,2048,13440
MimiIWG_FAIRv162,HFC152a,3%,2049,13831
MimiIWG_FAIRv162,HFC152a,3%,2050,14222
MimiIWG_FAIRv162,HFC152a,3%,2051,14612
MimiIWG_FAIRv162,HFC152a,3%,2052,15003
MimiIWG_FAIRv162,HFC152a,3%,2053,15394
MimiIWG_FAIRv162,HFC152a,3%,2054,15784
MimiIWG_FAIRv162,HFC152a,3%,2055,16175
MimiIWG_FAIRv162,HFC152a,3%,2056,16565
MimiIWG_FAIRv162,HFC152a,3%,2057,16956
MimiIWG_FAIRv162,HFC152a,3%,2058,17347
MimiIWG_FAIRv162,HFC152a,3%,2059,17737
MimiIWG_FAIRv162,HFC152a,3%,2060,18128
MimiIWG_FAIRv162,HFC152a,3%,2061,18706
MimiIWG_FAIRv162,HFC152a,3%,2062,19284
MimiIWG_FAIRv162,HFC152a,3%,2063,19863
MimiIWG_FAIRv162,HFC152a,3%,2064,20441
MimiIWG_FAIRv162,HFC152a,3%,2065,21019
MimiIWG_FAIRv162,HFC152a,3%,2066,21598
MimiIWG_FAIRv162,HFC152a,3%,2067,22176
MimiIWG_FAIRv162,HFC152a,3%,2068,22754
MimiIWG_FAIRv162,HFC152a,3%,2069,23332
MimiIWG_FAIRv162,HFC152a,3%,2070,23911
MimiIWG_FAIRv162,HFC152a,3%,2071,24521
MimiIWG_FAIRv162,HFC152a,3%,2072,25131
MimiIWG_FAIRv162,HFC152a,3%,2073,25742
MimiIWG_FAIRv162,HFC152a,3%,2074,26352
MimiIWG_FAIRv162,HFC152a,3%,2075,26962
MimiIWG_FAIRv162,HFC152a,3%,2076,27573
MimiIWG_FAIRv162,HFC152a,3%,2077,28183
MimiIWG_FAIRv162,HFC152a,3%,2078,28793
MimiIWG_FAIRv162,HFC152a,3%,2079,29403
MimiIWG_FAIRv162,HFC152a,3%,2080,30014
MimiIWG_FAIRv162,HFC152a,3%,2081,30548
MimiIWG_FAIRv162,HFC152a,3%,2082,31082
MimiIWG_FAIRv162,HFC152a,3%,2083,31616
MimiIWG_FAIRv162,HFC152a,3%,2084,32150
MimiIWG_FAIRv162,HFC152a,3%,2085,32684
MimiIWG_FAIRv162,HFC152a,3%,2086,33217
MimiIWG_FAIRv162,HFC152a,3%,2087,33751
MimiIWG_FAIRv162,HFC152a,3%,2088,34285
MimiIWG_FAIRv162,HFC152a,3%,2089,34819
MimiIWG_FAIRv162,HFC152a,3%,2090,35353
MimiIWG_FAIRv162,HFC152a,3%,2091,35963
MimiIWG_FAIRv162,HFC152a,3%,2092,36573
MimiIWG_FAIRv162,HFC152a,3%,2093,37182
MimiIWG_FAIRv162,HFC152a,3%,2094,37792
MimiIWG_FAIRv162,HFC152a,3%,2095,38401
MimiIWG_FAIRv162,HFC152a,3%,2096,39011
MimiIWG_FAIRv162,HFC152a,3%,2097,39621
MimiIWG_FAIRv162,HFC152a,3%,2098,40230
MimiIWG_FAIRv162,HFC152a,3%,2099,40840
MimiIWG_FAIRv162,HFC152a,3%,2100,41449
MimiIWG_FAIRv162,HFC227ea,3%,2020,121978
MimiIWG_FAIRv162,HFC227ea,3%,2021,125968
MimiIWG_FAIRv162,HFC227ea,3%,2022,129958
MimiIWG_FAIRv162,HFC227ea,3%,2023,133948
MimiIWG_FAIRv162,HFC227ea,3%,2024,137937
MimiIWG_FAIRv162,HFC227ea,3%,2025,141927
MimiIWG_FAIRv162,HFC227ea,3%,2026,145917
MimiIWG_FAIRv162,HFC227ea,3%,2027,149907
MimiIWG_FAIRv162,HFC227ea,3%,2028,153897
MimiIWG_FAIRv162,HFC227ea,3%,2029,157887
MimiIWG_FAIRv162,HFC227ea,3%,2030,161877
MimiIWG_FAIRv162,HFC227ea,3%,2031,166869
MimiIWG_FAIRv162,HFC227ea,3%,2032,171862
MimiIWG_FAIRv162,HFC227ea,3%,2033,176855
MimiIWG_FAIRv162,HFC227ea,3%,2034,181847
MimiIWG_FAIRv162,HFC227ea,3%,2035,186840
MimiIWG_FAIRv162,HFC227ea,3%,2036,191832
MimiIWG_FAIRv162,HFC227ea,3%,2037,196825
MimiIWG_FAIRv162,HFC227ea,3%,2038,201817
MimiIWG_FAIRv162,HFC227ea,3%,2039,206810
MimiIWG_FAIRv162,HFC227ea,3%,2040,211803
MimiIWG_FAIRv162,HFC227ea,3%,2041,217795
MimiIWG_FAIRv162,HFC227ea,3%,2042,223786
MimiIWG_FAIRv162,HFC227ea,3%,2043,229778
MimiIWG_FAIRv162,HFC227ea,3%,2044,235770
MimiIWG_FAIRv162,HFC227ea,3%,2045,241762
MimiIWG_FAIRv162,HFC227ea,3%,2046,247754
MimiIWG_FAIRv162,HFC227ea,3%,2047,253746
MimiIWG_FAIRv162,HFC227ea,3%,2048,259738
MimiIWG_FAIRv162,HFC227ea,3%,2049,265730
MimiIWG_FAIRv162,HFC227ea,3%,2050,271721
MimiIWG_FAIRv162,HFC227ea,3%,2051,278420
MimiIWG_FAIRv162,HFC227ea,3%,2052,285119
MimiIWG_FAIRv162,HFC227ea,3%,2053,291818
MimiIWG_FAIRv162,HFC227ea,3%,2054,298517
MimiIWG_FAIRv162,HFC227ea,3%,2055,305216
MimiIWG_FAIRv162,HFC227ea,3%,2056,311915
MimiIWG_FAIRv162,HFC227ea,3%,2057,318614
MimiIWG_FAIRv162,HFC227ea,3%,2058,325313
MimiIWG_FAIRv162,HFC227ea,3%,2059,332012
MimiIWG_FAIRv162,HFC227ea,3%,2060,338711
MimiIWG_FAIRv162,HFC227ea,3%,2061,346870
MimiIWG_FAIRv162,HFC227ea,3%,2062,355030
